Age of ice (yr BP),CO2 conncentration (ppmv),Mean age of air (yr BP),Depth (m)
419328,277.6,417160,3304.4
417638,286.9,415434,3301.4
416332,285.5,414085,3299.01
413010,276.3,410831,3292.91
411202,283.7,409022,3289.45
411202,281.2,409022,3289.45
408236,279.7,405844,3283.51
403173,278,400390,3273.81
401423,277.1,398554,3270.6
399733,274.7,396713,3267.51
398091,266.3,394628,3264.51
396423,250.2,392451,3261.51
394634,255.2,390589,3258.51
390641,259.3,386579,3252.45
388757,264.7,384909,3249.51
386788,258.1,383504,3246.41
383395,245.9,379633,3240.51
381834,246.9,378194,3237.51
380153,239.1,376758,3234.5
378469,240,374561,3231.51
377177,227,373014,3228.91
373629,229.7,369563,3222.51
371843,224.6,368117,3219.5
370095,214.7,366221,3216.45
368693,200,364499,3213.7
367048,201.9,362766,3210.51
363962,206.4,359688,3204.71
361445,201.2,356838,3200.01
359223,185.8,354372,3195.81
357450,186.2,352412,3192.51
355795,193,350765,3189.51
352377,209.2,347610,3183.41
350773,209.5,346105,3180.5
349298,216.2,344735,3177.81
347589,221.2,342998,3174.51
344844,220.4,340165,3169.01
343123,211.9,338282,3165.5
341849,204.9,336972,3162.81
340242,205.2,335290,3159.51
338770,200.7,333627,3156.51
337304,250.2,332293,3153.51
334356,234.2,330208,3147.51
333111,239.7,329267,3145.01
331513,241.9,328097,3141.51
330278,255.7,327114,3138.51
329135,270.5,326239,3135.51
328058,278.7,325527,3132.41
327237,285.8,324991,3129.91
326200,278.2,324189,3126.51
325400,298.7,323485,3123.51
324711,288.4,322827,3120.61
324461,289.2,322582,3119.51
324021,282.4,322111,3117.51
323441,273.2,321386,3114.81
322746,272.7,320378,3111.51
322216,271.8,319754,3109.01
321448,265,318980,3105.51
319978,275.2,317445,3099.51
319231,271.9,316681,3096.46
318509,270.2,315940,3093.51
317775,266.2,315143,3090.51
317108,264,314374,3087.8
316304,266.3,313493,3084.51
315592,260.6,312669,3081.6
314822,260.3,311774,3078.51
314032,260.4,310930,3075.41
313292,256.3,310039,3072.51
313292,257.2,310035,3072.5
311704,249.2,308101,3066.51
310905,255.9,307131,3063.51
309281,244.7,305306,3057.71
309281,245.2,305304,3057.7
308358,251.7,304590,3054.51
307464,272.7,303953,3051.51
306561,246.9,303334,3048.56
305612,257.2,302456,3045.51
304745,256.8,301496,3042.51
303939,251.7,300646,3039.51
303201,241.9,299877,3036.51
302452,239,299020,3033.51
301665,237.9,298051,3030.41
300928,233.2,297131,3027.51
300267,226.2,296380,3024.9
